,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_PCA__n_components,param_XGB__child_weight,param_XGB__colsample_bylevel,param_XGB__colsample_bytree,param_XGB__gamma,param_XGB__learning_rate,param_XGB__max_delta_step,param_XGB__max_depth,param_XGB__min_child_weight,param_XGB__n_estimators,param_XGB__reg_alpha,param_XGB__reg_lambda,param_XGB__scale_pos_weight,param_XGB__subsample,params
0,-29.134831435264335,-32.414140915821214,-32.70578295709436,-34.857292600796946,-32.877417785185116,-32.394674163905435,1.845213893756766,2,21.23633623123169,0.6463832563960503,0.030009078979492187,0.01184639723675371,5,7,0.9335393188593556,0.32264159755217825,0.0006754557459174224,0.0673344419215237,7,37,2,82,0.5499639422598201,126.83381839672381,3.541169087295409e-05,0.6357746718688816,"OrderedDict([('PCA__n_components', 5), ('XGB__child_weight', 7), ('XGB__colsample_bylevel', 0.9335393188593556), ('XGB__colsample_bytree', 0.32264159755217825), ('XGB__gamma', 0.0006754557459174224), ('XGB__learning_rate', 0.0673344419215237), ('XGB__max_delta_step', 7), ('XGB__max_depth', 37), ('XGB__min_child_weight', 2), ('XGB__n_estimators', 82), ('XGB__reg_alpha', 0.5499639422598201), ('XGB__reg_lambda', 126.83381839672381), ('XGB__scale_pos_weight', 3.541169087295409e-05), ('XGB__subsample', 0.6357746718688816)])"
1,-321.1208061540091,-276.91521108355903,-315.968225107262,-300.3839316679307,-323.44891839147,-307.5578916318892,17.31627326697122,8,13.16957139968872,0.4730647328166661,0.029011249542236328,0.006661554502681953,9,9,0.3103760087853332,0.9517116675273961,0.03288689082153969,0.013323731791098763,3,18,3,98,0.629901066851289,992.2939998623445,4.68047344427362,0.3946396015528638,"OrderedDict([('PCA__n_components', 9), ('XGB__child_weight', 9), ('XGB__colsample_bylevel', 0.3103760087853332), ('XGB__colsample_bytree', 0.9517116675273961), ('XGB__gamma', 0.03288689082153969), ('XGB__learning_rate', 0.013323731791098763), ('XGB__max_delta_step', 3), ('XGB__max_depth', 18), ('XGB__min_child_weight', 3), ('XGB__n_estimators', 98), ('XGB__reg_alpha', 0.629901066851289), ('XGB__reg_lambda', 992.2939998623445), ('XGB__scale_pos_weight', 4.68047344427362), ('XGB__subsample', 0.3946396015528638)])"
2,-31.049709246406465,-32.118304702404274,-34.129776865910436,-35.57955443720542,-35.39305202319207,-33.650065821343176,1.794293010878119,4,20.741101121902467,0.7553286005961602,0.029862213134765624,0.010205993353251158,6,9,0.11381056696717655,0.43899947385152294,4.3153549988292925e-08,0.08078499224286771,3,38,3,99,0.7034675314028366,381.4732328920599,5.261844517755695e-05,0.51445560213579,"OrderedDict([('PCA__n_components', 6), ('XGB__child_weight', 9), ('XGB__colsample_bylevel', 0.11381056696717655), ('XGB__colsample_bytree', 0.43899947385152294), ('XGB__gamma', 4.3153549988292925e-08), ('XGB__learning_rate', 0.08078499224286771), ('XGB__max_delta_step', 3), ('XGB__max_depth', 38), ('XGB__min_child_weight', 3), ('XGB__n_estimators', 99), ('XGB__reg_alpha', 0.7034675314028366), ('XGB__reg_lambda', 381.4732328920599), ('XGB__scale_pos_weight', 5.261844517755695e-05), ('XGB__subsample', 0.51445560213579)])"
3,-442.42437873411126,-388.17663156339677,-435.6802196136634,-416.12383460569123,-444.5009413028515,-425.3703990022992,21.139538376982557,10,10.242546367645264,0.13071677192700293,0.02734794616699219,0.00925333979969952,8,2,0.6020666067370067,0.8047371333447475,3.548268799583358e-05,0.01552065618292981,15,44,5,69,0.34159574276104077,837.5301851014964,0.20423651266870002,0.036023557810653695,"OrderedDict([('PCA__n_components', 8), ('XGB__child_weight', 2), ('XGB__colsample_bylevel', 0.6020666067370067), ('XGB__colsample_bytree', 0.8047371333447475), ('XGB__gamma', 3.548268799583358e-05), ('XGB__learning_rate', 0.01552065618292981), ('XGB__max_delta_step', 15), ('XGB__max_depth', 44), ('XGB__min_child_weight', 5), ('XGB__n_estimators', 69), ('XGB__reg_alpha', 0.34159574276104077), ('XGB__reg_lambda', 837.5301851014964), ('XGB__scale_pos_weight', 0.20423651266870002), ('XGB__subsample', 0.036023557810653695)])"
4,-28.85423388765553,-32.456448164438335,-32.255684508355685,-35.19124724331155,-32.91197736675674,-32.33015548696024,2.0310781996307585,1,42.47483401298523,0.37620113683649126,0.03285794258117676,0.011700411627874559,8,4,0.5313540347564155,0.7185561294859627,0.07287558719230106,0.27168289873702833,8,33,2,83,0.5129879499780667,882.3904872626607,0.00016713473964655734,0.2721914943460811,"OrderedDict([('PCA__n_components', 8), ('XGB__child_weight', 4), ('XGB__colsample_bylevel', 0.5313540347564155), ('XGB__colsample_bytree', 0.7185561294859627), ('XGB__gamma', 0.07287558719230106), ('XGB__learning_rate', 0.27168289873702833), ('XGB__max_delta_step', 8), ('XGB__max_depth', 33), ('XGB__min_child_weight', 2), ('XGB__n_estimators', 83), ('XGB__reg_alpha', 0.5129879499780667), ('XGB__reg_lambda', 882.3904872626607), ('XGB__scale_pos_weight', 0.00016713473964655734), ('XGB__subsample', 0.2721914943460811)])"
5,-45.77970752084988,-38.25695766992599,-46.947405116266,-45.28676848698573,-49.45523948283099,-45.14033988685137,3.7348525788262026,6,11.380836677551269,0.3272952322391429,0.03208608627319336,0.015579701233540608,8,9,0.17197110685216477,0.19654103884777585,0.009195039491495752,0.05561085291185477,9,27,4,78,0.588895986717001,564.6003731416007,1.5648224746388556e-06,0.5031916043798332,"OrderedDict([('PCA__n_components', 8), ('XGB__child_weight', 9), ('XGB__colsample_bylevel', 0.17197110685216477), ('XGB__colsample_bytree', 0.19654103884777585), ('XGB__gamma', 0.009195039491495752), ('XGB__learning_rate', 0.05561085291185477), ('XGB__max_delta_step', 9), ('XGB__max_depth', 27), ('XGB__min_child_weight', 4), ('XGB__n_estimators', 78), ('XGB__reg_alpha', 0.588895986717001), ('XGB__reg_lambda', 564.6003731416007), ('XGB__scale_pos_weight', 1.5648224746388556e-06), ('XGB__subsample', 0.5031916043798332)])"
6,-29.20214850089238,-31.927103205209864,-32.95323924082043,-35.099568674525166,-33.80991037546187,-32.59432752506516,1.9917703304893535,3,33.13709115982056,0.7798974842737283,0.03395624160766601,0.009916406492646499,7,8,0.3654327026021899,0.8755820423811133,0.0001429488873857813,0.15461088645165447,13,21,4,82,0.9242813682240746,657.8527572973695,0.2096758166154638,0.3525162353863268,"OrderedDict([('PCA__n_components', 7), ('XGB__child_weight', 8), ('XGB__colsample_bylevel', 0.3654327026021899), ('XGB__colsample_bytree', 0.8755820423811133), ('XGB__gamma', 0.0001429488873857813), ('XGB__learning_rate', 0.15461088645165447), ('XGB__max_delta_step', 13), ('XGB__max_depth', 21), ('XGB__min_child_weight', 4), ('XGB__n_estimators', 82), ('XGB__reg_alpha', 0.9242813682240746), ('XGB__reg_lambda', 657.8527572973695), ('XGB__scale_pos_weight', 0.2096758166154638), ('XGB__subsample', 0.3525162353863268)])"
7,-384.0797691725077,-333.36193218333096,-377.54601183812906,-359.5542975528716,-386.10327410053094,-368.11876183506615,19.7512124713639,9,13.212873554229736,0.40297891270532765,0.02739109992980957,0.009010848011966388,6,9,0.5015020365607495,0.8392798726899214,6.591557812576492e-07,0.012655202748193147,11,1,2,91,0.36744727961920975,572.7564251238858,1.0120323873400114,0.08532107526802597,"OrderedDict([('PCA__n_components', 6), ('XGB__child_weight', 9), ('XGB__colsample_bylevel', 0.5015020365607495), ('XGB__colsample_bytree', 0.8392798726899214), ('XGB__gamma', 6.591557812576492e-07), ('XGB__learning_rate', 0.012655202748193147), ('XGB__max_delta_step', 11), ('XGB__max_depth', 1), ('XGB__min_child_weight', 2), ('XGB__n_estimators', 91), ('XGB__reg_alpha', 0.36744727961920975), ('XGB__reg_lambda', 572.7564251238858), ('XGB__scale_pos_weight', 1.0120323873400114), ('XGB__subsample', 0.08532107526802597)])"
8,-240.90167472174562,-201.07080014683723,-236.6415109058363,-222.15645970122057,-242.68585339071672,-228.6830891341197,15.589065567839706,7,8.833193922042847,0.10396112384436919,0.03467116355895996,0.013447701237301695,10,7,0.8729354091785829,0.42166287670365904,2.064766563430965e-06,0.02647454924455449,0,19,3,59,0.7673783372024691,444.4018197489749,1.2146605405884107e-05,0.1932757915911235,"OrderedDict([('PCA__n_components', 10), ('XGB__child_weight', 7), ('XGB__colsample_bylevel', 0.8729354091785829), ('XGB__colsample_bytree', 0.42166287670365904), ('XGB__gamma', 2.064766563430965e-06), ('XGB__learning_rate', 0.02647454924455449), ('XGB__max_delta_step', 0), ('XGB__max_depth', 19), ('XGB__min_child_weight', 3), ('XGB__n_estimators', 59), ('XGB__reg_alpha', 0.7673783372024691), ('XGB__reg_lambda', 444.4018197489749), ('XGB__scale_pos_weight', 1.2146605405884107e-05), ('XGB__subsample', 0.1932757915911235)])"
9,-38.62503650062345,-34.776221917951155,-40.5996057962719,-40.54680805284748,-42.822209855602416,-39.469134075196926,2.6992678532726373,5,13.446399211883545,0.08538993559964146,0.029714632034301757,0.016179414986232144,2,8,0.743869916924347,0.2620087152854045,0.00010808954866719274,0.035434776485120056,6,8,4,91,0.7533213439898632,19.84755448263225,0.00011403995297346906,0.7267675535162856,"OrderedDict([('PCA__n_components', 2), ('XGB__child_weight', 8), ('XGB__colsample_bylevel', 0.743869916924347), ('XGB__colsample_bytree', 0.2620087152854045), ('XGB__gamma', 0.00010808954866719274), ('XGB__learning_rate', 0.035434776485120056), ('XGB__max_delta_step', 6), ('XGB__max_depth', 8), ('XGB__min_child_weight', 4), ('XGB__n_estimators', 91), ('XGB__reg_alpha', 0.7533213439898632), ('XGB__reg_lambda', 19.84755448263225), ('XGB__scale_pos_weight', 0.00011403995297346906), ('XGB__subsample', 0.7267675535162856)])"
